infinitive,third_person_singular,past,present_participle,past_participle
hardsub,hardsubs,hardsubbed,hardsubbing,hardsubbed
interblend,interblends,interblent,interblending,interblent
reshine,reshines,reshone,reshining,reshone
carp,carps,carped,carping,carped
unsplit,unsplits,unsplit,unsplitting,unsplit
misbecome,misbecomes,misbecame,misbecoming,misbecome
skrimp,skrimps,skrimped,skrimping,skrimped
overfit,overfits,overfitted,overfitting,overfitted
cryoembed,cryoembeds,cryoembedded,cryoembedding,cryoembedded
babify,babifies,babified,babifying,babified
regrit,regrits,regritted,regritting,regritted
outstrike,outstrikes,outstruck,outstriking,outstricken
berisp,berisps,berisped,berisping,berisped
madefy,madefies,madefied,madefying,madefied
uncatch,uncatches,uncaught,uncatching,uncaught
strum,strums,strummed,strumming,strummed
wig,wigs,wigged,wigging,wigged
alkalify,alkalifies,alkalified,alkalifying,alkalified
halloo,hallooes,hallooed,hallooing,hallooed
filmset,filmsets,filmset,filmsetting,filmset
abite,abites,abit,abiting,abitten
toswink,toswinks,toswank,toswinking,toswunken
disconcur,disconcurs,disconcurred,disconcurring,disconcurred
descan,descans,descanned,descanning,descanned
dereify,dereifies,dereified,dereifying,dereified
respread,respreads,respread,respreading,respread
slob,slobs,slobbed,slobbing,slobbed
tonicify,tonicifies,tonicified,tonicifying,tonicified
souffle,souffles,souffleed,souffleing,souffleed
material,materials,materialled,materialling,materialled
relamp,relamps,relamped,relamping,relamped
fancast,fancasts,fancast,fancasting,fancast
resling,reslings,reslung,reslinging,reslung
esterify,esterifies,esterified,esterifying,esterified
shivari,shivaries,shivaried,shivariing,shivaried
convo,convoes,convoed,convoing,convoed
tippytoe,tippytoes,tippytoed,tippytoeing,tippytoed
tram,trams,trammed,tramming,trammed
atreach,atreaches,atraught,atreaching,atraught
hitchel,hitchels,hitchelled,hitchelling,hitchelled
philosophy,philosophies,philosophied,philosophying,philosophied
knob,knobs,knobbed,knobbing,knobbed
outdrive,outdrives,outdrove,outdriving,outdriven
reaedify,reaedifies,reaedified,reaedifying,reaedified
bowcat,bowcats,bowcatted,bowcatting,bowcatted
destratify,destratifies,destratified,destratifying,destratified
scalp,scalps,scalped,scalping,scalped
overdry,overdries,overdried,overdrying,overdried
shab,shabs,shabbed,shabbing,shabbed
betake,betakes,betook,betaking,betaken
carry,carries,carried,carrying,carried
ape,apes,aped,apeing,aped
slag,slags,slagged,slagging,slagged
precue,precues,precued,precueing,precued
ketch,ketches,ketched,ketching,ketched
preformat,preformats,preformatted,preformatting,preformatted
premodify,premodifies,premodified,premodifying,premodified
retcon,retcons,retconned,retconning,retconned
assot,assots,assot,assotting,assot
dispatch,dispatches,dispatched,dispatching,dispatched
rsvp,rsvps,rsvped,rsvping,rsvped
edify,edifies,edified,edifying,edified
intromit,intromits,intromitted,intromitting,intromitted
swat,swats,swatted,swatting,swatted
benefit,benefits,benefitted,benefitting,benefitted
filthy,filthies,filthied,filthying,filthied
unswivel,unswivels,unswivelled,unswivelling,unswivelled
stranglehold,strangleholds,strangleheld,strangleholding,strangleheld
beely,beelies,beelied,beelying,beelied
fizgig,fizgigs,fizgigged,fizgigging,fizgigged
uncram,uncrams,uncrammed,uncramming,uncrammed
untidy,untidies,untidied,untidying,untidied
breede,breedes,bredde,breeding,bredde
handset,handsets,handset,handsetting,handset
prod,prods,prodded,prodding,prodded
pat,pats,patted,patting,patted
rely,relies,relied,relying,relied
withsay,withsays,withsaid,withsaying,withsaid
untree,untrees,untreed,untreeing,untreed
electrotin,electrotins,electrotinned,electrotinning,electrotinned
handmake,handmakes,handmade,handmaking,handmade
bastinado,bastinadoes,bastinadoed,bastinadoing,bastinadoed
inspan,inspans,inspanned,inspanning,inspanned
spie,spies,spied,spying,spied
negrofy,negrofies,negrofied,negrofying,negrofied
fructify,fructifies,fructified,fructifying,fructified
floop,floops,flooped,flooping,flooped
chevy,chevies,chevied,chevying,chevied
brog,brogs,brogged,brogging,brogged
topspin,topspins,topspun,topspinning,topspun
basin,basins,basinned,basinning,basinned
codrive,codrives,codrove,codriving,codriven
sirup,sirups,siruped,siruping,siruped
thinck,thincks,thought,thincking,thought
bag,bags,bagged,bagging,bagged
sham,shams,shammed,shamming,shammed
skelp,skelps,skelped,skelping,skelped
unspill,unspills,unspilt,unspilling,unspilt
touristify,touristifies,touristified,touristifying,touristified
cum,cums,came,cumming,cum
forecry,forecries,forecried,forecrying,forecried
circus,circusses,circussed,circussing,circussed
cajol,cajols,cajolled,cajolling,cajolled
rechannel,rechannels,rechannelled,rechannelling,rechannelled
tyran,tyrans,tyranned,tyranning,tyranned
forswink,forswinks,forswonck,forswinking,forswonck
flee,flees,fled,fleeing,fled
prophecy,prophecies,prophecied,prophecying,prophecied
take,takes,took,taking,taken
overlaunch,overlaunches,overlaunched,overlaunching,overlaunched
tobreak,tobreaks,tobroke,tobreaking,tobroken
misshoot,misshoots,misshot,misshooting,misshot
squee,squees,squeed,squeeing,squeed
screenwrite,screenwrites,screenwrote,screenwriting,screenwritten
cosleep,cosleeps,coslept,cosleeping,coslept
blub,blubs,blubbed,blubbing,blubbed
upreach,upreaches,upreached,upreaching,upreached
outdo,outdoes,outdid,outdoing,outdone
unnotify,unnotifies,unnotified,unnotifying,unnotified
celestify,celestifies,celestified,celestifying,celestified
tweep,tweeps,tweeped,tweeping,tweeped
sweat,sweats,sweat,sweating,sweated
outbench,outbenches,outbenched,outbenching,outbenched
mislead,misleads,misled,misleading,misled
jelly,jellies,jellied,jellying,jellied
beshoe,beshoes,beshod,beshoeing,beshod
cancan,cancans,cancanned,cancanning,cancanned
bind,binds,bound,binding,bound
halterbreak,halterbreaks,halterbroke,halterbreaking,halterbroken
shrinke,shrinkes,shrunk,shrinking,shrunken
underfulfil,underfulfils,underfulfilled,underfulfilling,underfulfilled
decryptify,decryptifies,decryptified,decryptifying,decryptified
emit,emits,emitted,emitting,emitted
outbreed,outbreeds,outbred,outbreeding,outbred
beblow,beblows,beblew,beblowing,beblown
codiversify,codiversifies,codiversified,codiversifying,codiversified
demorify,demorifies,demorified,demorifying,demorified
pedigree,pedigrees,pedigreed,pedigreeing,pedigreed
spet,spets,spetted,spetting,spetted
scritch,scritches,scritched,scritching,scritched
instamp,instamps,instamped,instamping,instamped
bestir,bestirs,bestirred,bestirring,bestirred
fondue,fondues,fondued,fondueing,fondued
reinitial,reinitials,reinitialled,reinitialling,reinitialled
overwind,overwinds,overwound,overwinding,overwound
orthorectify,orthorectifies,orthorectified,orthorectifying,orthorectified
quiz,quizzes,quizzed,quizzing,quizzed
stag,stags,stagged,stagging,stagged
worrit,worrits,worrit,worriting,worrit
sidewind,sidewinds,sidewound,sidewinding,sidewound
disedify,disedifies,disedified,disedifying,disedified
gen,gens,genned,genning,genned
plodge,plodges,plodged,plodgin,plodged
cumberbatch,cumberbatches,cumberbatched,cumberbatching,cumberbatched
resell,resells,resold,reselling,resold
cloop,cloops,clooped,clooping,clooped
overlearn,overlearns,overlearnt,overlearning,overlearnt
rebiopsy,rebiopsies,rebiopsied,rebiopsying,rebiopsied
seech,seeches,seeched,seeching,seeched
corefer,corefers,coreferred,coreferring,coreferred
timeslot,timeslots,timeslotted,timeslotting,timeslotted
betread,betreads,betrod,betreading,betrodden
moove,mooves,moovd,mooving,moovd
safekeep,safekeeps,safekept,safekeeping,safekept
sketch,sketches,sketched,sketching,sketched
cooee,cooees,cooeed,cooeeing,cooeed
purify,purifies,purified,purifying,purified
wot,wots,wotted,wotting,wotted
rerise,rerises,rerose,rerising,rerisen
stich,stiches,stiched,stiching,stiched
sticky,stickies,stickied,stickying,stickied
torrify,torrifies,torrified,torrifying,torrified
hinge,hinges,hinged,hingeing,hinged
loop,loops,looped,looping,looped
squib,squibs,squibbed,squibbing,squibbed
mispen,mispens,mispenned,mispenning,mispenned
aimbot,aimbots,aimbotted,aimbotting,aimbotted
twat,twats,twatted,twatting,twatted
decommodify,decommodifies,decommodified,decommodifying,decommodified
begrutch,begrutches,begrutched,begrutching,begrutched
afterthink,afterthinks,afterthought,afterthinking,afterthought
outduel,outduels,outduelled,outduelling,outduelled
offcut,offcuts,offcut,offcutting,offcut
oldify,oldifies,oldified,oldifying,oldified
presubmit,presubmits,presubmitted,presubmitting,presubmitted
complify,complifies,complified,complifying,complified
unqualify,unqualifies,unqualified,unqualifying,unqualified
forlie,forlies,forlay,forlying,forlain
demat,demats,dematted,dematting,dematted
unsay,unsays,unsaid,unsaying,unsaid
overfare,overfares,overfore,overfaring,overfaren
trib,tribs,tribbed,tribbing,tribbed
decomp,decomps,decomped,decomping,decomped
grow,grows,grew,growing,grown
rewet,rewets,rewetted,rewetting,rewetted
uptake,uptakes,uptook,uptaking,uptaken
squinch,squinches,squinched,squinching,squinched
reemit,reemits,reemitted,reemitting,reemitted
reap,reaps,reaped,reaping,reaped
roughdry,roughdries,roughdried,roughdrying,roughdried
ungum,ungums,ungummed,ungumming,ungummed
paunch,paunches,paunched,paunching,paunched
palsy,palsies,palsied,palsying,palsied
micropunch,micropunches,micropunched,micropunching,micropunched
shinny,shinnies,shinnied,shinnying,shinnied
carpetbag,carpetbags,carpetbagged,carpetbagging,carpetbagged
outstrut,outstruts,outstrutted,outstrutting,outstrutted
clasp,clasps,clasped,clasping,clasped
foresee,foresees,foresaw,foreseeing,foreseen
mislog,mislogs,mislogged,mislogging,mislogged
squirrel,squirrels,squirrelled,squirrelling,squirrelled
screech,screeches,screeched,screeching,screeched
admin,admins,adminned,adminning,adminned
overmagnify,overmagnifies,overmagnified,overmagnifying,overmagnified
girlify,girlifies,girlified,girlifying,girlified
withold,witholds,witheld,witholding,witheld
mar,mars,marred,marring,marred
sandbag,sandbags,sandbagged,sandbagging,sandbagged
pixel,pixels,pixelled,pixelling,pixelled
pitapat,pitapats,pitapatted,pitapatting,pitapatted
fancy,fancies,fancied,fancying,fancied
chammy,chammies,chammied,chammying,chammied
upfly,upflies,upflew,upflying,upflown
patrol,patrols,patrolled,patrolling,patrolled
sky,skies,skyed,skying,skyed
birdwatch,birdwatches,birdwatched,birdwatching,birdwatched
uncrunch,uncrunches,uncrunched,uncrunching,uncrunched
siteban,sitebans,sitebanned,sitebanning,sitebanned
overstarch,overstarches,overstarched,overstarching,overstarched
pity,pities,pitied,pitying,pitied
journal,journals,journalled,journalling,journalled
schloop,schloops,schlooped,schlooping,schlooped
handfight,handfights,handfought,handfighting,handfought
outwatch,outwatches,outwatched,outwatching,outwatched
ragequit,ragequits,ragequitted,ragequitting,ragequitted
unpetrify,unpetrifies,unpetrified,unpetrifying,unpetrified
gam,gams,gammed,gamming,gammed
snag,snags,snagged,snagging,snagged
outblot,outblots,outblotted,outblotting,outblotted
lisp,lisps,lisped,lisping,lisped
bioamplify,bioamplifies,bioamplified,bioamplifying,bioamplified
datafy,datafies,datafied,datafying,datafied
overshake,overshakes,overshook,overshaking,overshaken
relic,relics,relicked,relicking,relicked
regive,regives,regave,regiving,regiven
palp,palps,palped,palping,palped
backswing,backswings,backswung,backswinging,backswung
densify,densifies,densified,densifying,densified
beman,bemans,bemanned,bemanning,bemanned
disembowel,disembowels,disembowelled,disembowelling,disembowelled
monkeypatch,monkeypatches,monkeypatched,monkeypatching,monkeypatched
rat,rats,ratted,ratting,ratted
reundertake,reundertakes,reundertook,reundertaking,reundertaken
forestand,forestands,forestood,forestanding,forestood
fight,fights,fought,fighting,fought
beshite,beshites,beshat,beshiting,beshitten
outsnatch,outsnatches,outsnatched,outsnatching,outsnatched
limp,limps,limped,limping,limped
spiderweb,spiderwebs,spiderwebbed,spiderwebbing,spiderwebbed
frak,fraks,frakked,frakking,frakked
outman,outmans,outmanned,outmanning,outmanned
forsling,forslings,forslong,forslinging,forslongen
adverbify,adverbifies,adverbified,adverbifying,adverbified
toshake,toshakes,toshook,toshaking,toshaken
rejar,rejars,rejarred,rejarring,rejarred
misring,misrings,misrang,misringing,misrung
dandyfy,dandyfies,dandyfied,dandyfying,dandyfied
outring,outrings,outrang,outringing,outrung
scotchify,scotchifies,scotchified,scotchifying,scotchified
unmake,unmakes,unmade,unmaking,unmade
lag,lags,lagged,lagging,lagged
outweave,outweaves,outwove,outweaving,outwoven
slotch,slotches,slotched,slotching,slotched
haunch,haunches,haunched,haunching,haunched
sidebar,sidebars,sidebarred,sidebarring,sidebarred
uncentury,uncenturies,uncenturied,uncenturying,uncenturied
melt,melts,melted,melting,molten
overpet,overpets,overpetted,overpetting,overpetted
missplit,missplits,missplit,missplitting,missplit
frostbite,frostbites,frostbit,frostbiting,frostbitten
upheave,upheaves,uphove,upheaving,uphoven
plus,plusses,plussed,plussing,plussed
dial,dials,dialled,dialling,dialled
bot,bots,botted,botting,botted
commit,commits,committed,committing,committed
keb,kebs,kebbed,kebbing,kebbed
thimblerig,thimblerigs,thimblerigged,thimblerigging,thimblerigged
meep,meeps,meeped,meeping,meeped
destressify,destressifies,destressified,destressifying,destressified
malky,malkies,malkied,malkying,malkied
netsplit,netsplits,netsplitted,netsplitting,netsplitted
babysit,babysits,babysitted,babysitting,babysitted
sortie,sorties,sortied,sortieing,sortied
outhold,outholds,outheld,outholding,outheld
forhew,forhews,forhewed,forhewing,forhewn
supersimplify,supersimplifies,supersimplified,supersimplifying,supersimplified
reedify,reedifies,reedified,reedifying,reedified
rive,rives,rave,riving,riven
wicketkeep,wicketkeeps,wicketkept,wicketkeeping,wicketkept
ramp,ramps,ramped,ramping,ramped
overbuy,overbuys,overbought,overbuying,overbought
prebuy,prebuys,prebought,prebuying,prebought
escallop,escallops,escalloped,escalloping,escalloped
pie,pies,pied,pieing,pied
crab,crabs,crabbed,crabbing,crabbed
sled,sleds,sledded,sledding,sledded
outmatch,outmatches,outmatched,outmatching,outmatched
coadmit,coadmits,coadmitted,coadmitting,coadmitted
prevet,prevets,prevetted,prevetting,prevetted
mud,muds,mudded,mudding,mudded
ted,teds,tedded,tedding,tedded
outpreach,outpreaches,outpreached,outpreaching,outpreached
unshrink,unshrinks,unshrank,unshrinking,unshrunk
mythmake,mythmakes,mythmade,mythmaking,mythmade
sun,suns,sunned,sunning,sunned
misbefall,misbefalls,misbefell,misbefalling,misbefallen
fusspot,fusspots,fusspotted,fusspotting,fusspotted
metablog,metablogs,metablogged,metablogging,metablogged
totread,totreads,totrod,totreading,totrodden
umbedraw,umbedraws,umbedrew,umbedrawing,umbedrawn
underteach,underteaches,undertaught,underteaching,undertaught
counterprogram,counterprograms,counterprogrammed,counterprogramming,counterprogrammed
voop,voops,vooped,vooping,vooped
chairman,chairmans,chairmanned,chairmanning,chairmanned
microetch,microetches,microetched,microetching,microetched
french,frenches,frenched,frenching,frenched
decamp,decamps,decamped,decamping,decamped
breathhold,breathholds,breathheld,breathholding,breathheld
viscosify,viscosifies,viscosified,viscosifying,viscosified
casefy,casefies,casefied,casefying,casefied
accroach,accroaches,accroached,accroaching,accroached
yam,yams,yammed,yamming,yammed
overthrow,overthrows,overthrew,overthrowing,overthrown
helmet,helmets,helmetted,helmetting,helmetted
wildfeed,wildfeeds,wildfed,wildfeeding,wildfed
regroup,regroups,regrouped,regrouping,regrouped
summit,summits,summitted,summitting,summitted
unfellowship,unfellowships,unfellowshiped,unfellowshiping,unfellowshiped
unstamp,unstamps,unstamped,unstamping,unstamped
soupify,soupifies,soupified,soupifying,soupified
shitcan,shitcans,shitcanned,shitcanning,shitcanned
outwake,outwakes,outwoke,outwaking,outwoken
wiz,wizzes,wizzed,wizzing,wizzed
blur,blurs,blurred,blurring,blurred
enfree,enfrees,enfreed,enfreeing,enfreed
taxpay,taxpays,taxpaid,taxpaying,taxpaid
overshine,overshines,overshone,overshining,overshone
uncinch,uncinches,uncinched,uncinching,uncinched
teabag,teabags,teabagged,teabagging,teabagged
rebatch,rebatches,rebatched,rebatching,rebatched
heroify,heroifies,heroified,heroifying,heroified
overcreep,overcreeps,overcrept,overcreeping,overcrept
reovertake,reovertakes,reovertook,reovertaking,reovertaken
dister,disters,disterred,disterring,disterred
tug,tugs,tugged,tugging,tugged
begrave,begraves,begrove,begraving,begraven
unmagic,unmagics,unmagicked,unmagicking,unmagicked
jimmy,jimmies,jimmied,jimmying,jimmied
bob,bobs,bobbed,bobbing,bobbed
humanify,humanifies,humanified,humanifying,humanified
tammy,tammies,tammied,tammying,tammied
tally,tallies,tallied,tallying,tallied
gully,gullies,gullied,gullying,gullied
appeach,appeaches,appeached,appeaching,appeached
campervan,campervans,campervanned,campervanning,campervanned
colorbreed,colorbreeds,colorbred,colorbreeding,colorbred
wed,weds,wedded,wedding,wedded
overthin,overthins,overthinned,overthinning,overthinned
codistil,codistils,codistilled,codistilling,codistilled
befal,befals,befel,befaling,befalen
retake,retakes,retook,retaking,retaken
sonnet,sonnets,sonnetted,sonnetting,sonnetted
chylify,chylifies,chylified,chylifying,chylified
scotch,scotches,scotched,scotching,scotched
hould,houlds,held,houlding,held
par,pars,parred,parring,parred
quadrify,quadrifies,quadrified,quadrifying,quadrified
enlight,enlights,enlit,enlighting,enlit
untag,untags,untagged,untagging,untagged
mudsling,mudslings,mudslung,mudslinging,mudslung
rataplan,rataplans,rataplanned,rataplanning,rataplanned
detarget,detargets,detargetted,detargetting,detargetted
pandy,pandies,pandied,pandying,pandied
